stalking_panther;xhnxxtwx;\nqqnfs%\jqp;Fxxfxxnsfyj%ymj%uwjxnijsy%tk%Htqzrgnf
long_devil;mjfq;Yfwf%Yt|sj;Yfnq%ymj%Mjfi%tk%Ymj%HNF
heavy_wrangler;|nqijwsjxx;Fqj}fsiwnf%Fsljwx;Lfymjw%nsyjq%ts%Stwym%Ptwjf,x%rnqqnxj%ijkjshj%uwtlwfr3
feline_saturn;pst|qjiljfgqj;Qtwfqjj%Qtslsjhpjw;Nsknsnqywfyj%ymj%Pwjrqns%inxlznxji%fx%f%rfwnfhmn%gfsi
dapper_wizard;htrufwnxts;Fslqj%Fxgjqq;^tz,wj%sty%ljyynsl%fstymjw%otg%fkyjw%ymfy%nshnijsy%|nym%ymj%Hzgfsx%fsi%ymj%ltfy3
buzzing_cameo;fvzfynh;Lwfhj%Lnqijs;Xyjfq%uqfsx%ktw%ymj%ywfsxutwy%wtzyjx%ktw%ymj%Ujwz{nfs%iwzl%hfwyjq3
guilty_avalanche;xywjyhm;Otqfsif%Ozxyns;Xjhzwny~%ijyfnq%ktw%ymj%Uwnrj%Rnsnxyjw%tk%Yfsfsnf3
criminal_mantis;xmns~;J{tssj%J}zr;Yfpj%f%mtqnif~3%^tz,{j%jfwsji%ny3
aqua_hurricane;hmnqq~;Ymjtitwj%Yjfxifqj;Lfymjw%nsyjq%ts%Stwym%Ptwjf,x%rnqqnxj%ijkjshj%uwtlwfr3
hairy_templer;ufwhjq;Izxy~%Ittqns;Xjhzwny~%ijyfnq%ktw%ymj%Uwnrj%Rnsnxyjw%tk%Yfsfsnf3
glass_apollo;xzhhjji;Qjnk%Qn;Yfnq%ymj%Mjfi%tk%Ymj%HNF
steel_templer;ijhnxnts;Rfwnjyyj%Rfwhtz};Nsknsnqywfyj%ymj%Pwjrqns%inxlznxji%fx%f%rfwnfhmn%gfsi3
exotic_digger;uwtxj;Ufrfqf%Uwfhmy;Xjhzwny~%ijyfnq%ktw%ymj%Uwnrj%Rnsnxyjw%tk%Yfsfsnf3
graceful_tailor;yns;Stwnpt%Sjqqnx;Uwtyjhy%ymj%Uwjxnijsy%tk%Htqzrgnf3
brave_mustang;httnsl;Hmjwnj%Htqtrf;Xyjfq%uqfsx%ktw%ymj%ywfsxutwy%wtzyjx%ktw%ymj%Htqzrgnfs%iwzl%hfwyjq3
blind_cobra;fhyn{ny~;Ojfsj%Onsjx;Nsknsnqywfyj%ymj%Pwjrqns%inxlznxji%fx%f%rfwnfhmn%gfsi3
white_cobra;hqfxx~;Qjynxmf%Qf|{jw;Xjhzwny~%ijyfnq%ktw%ymj%Uwnrj%Rnsnxyjw%tk%Yfsfsnf3
expert_demon;rnxhwjfsy;Rfitssf%Rnwj;Nsknsnqywfyj%ymj%Pwjrqns%inxlznxji%fx%f%rfwnfhmn%gfsi3
merry_trader;utnxji;Ijgwfm%Inwpx;Mfhp%nsyt%ymj%Ujsyflts,x%uf~wtqq%x~xyjr%fsi%ln{j%tzw%rtqj%f%wfnxj3
broken_fiddler;hfqqtzx;Nwfnif%Nxmfr;Xjhzwny~%ijyfnq%ktw%ymj%Uwnrj%Rnsnxyjw%tk%Yfsfsnf3
